Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS-Playoffs,Player-additional
1,Devin Booker,SG,26,PHO,11,11,41.7,12.8,21.9,.585,2.8,5.5,.508,10.0,16.4,.611,.649,5.3,6.1,.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7,bookede01
2,Anthony Edwards,SG,21,MIN,5,5,39.8,11.0,22.8,.482,3.0,8.6,.349,8.0,14.2,.563,.548,6.6,7.8,.846,0.6,4.4,5.0,5.2,1.8,2.0,1.6,2.6,31.6,edwaran01
3,Stephen Curry,PG,34,GSW,13,13,37.9,11.2,23.9,.466,4.4,12.1,.363,6.8,11.8,.571,.558,3.8,4.5,.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,2.6,30.5,curryst01
4,Nikola Jokić,C,27,DEN,20,20,39.5,11.4,20.7,.548,1.8,3.8,.461,9.6,16.9,.568,.591,5.6,7.0,.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,30.0,jokicni01
5,Trae Young,PG,24,ATL,6,6,38.3,10.0,24.8,.403,3.0,9.0,.333,7.0,15.8,.442,.463,6.2,7.2,.860,0.8,2.8,3.7,10.2,1.7,0.7,4.0,1.8,29.2,youngtr01
6,Kevin Durant,PF,34,PHO,11,11,42.4,9.7,20.4,.478,1.5,4.6,.333,8.2,15.7,.520,.516,8.0,8.7,.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,29.0,duranke01
7,Jalen Brunson,PG,26,NYK,11,11,40.3,9.9,20.9,.474,2.4,7.3,.325,7.5,13.6,.553,.530,5.6,6.2,.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8,brunsja01
8,De'Aaron Fox,PG,25,SAC,7,7,38.6,10.0,23.6,.424,3.0,9.0,.333,7.0,14.6,.480,.488,4.4,5.9,.756,1.7,3.7,5.4,7.7,2.1,0.6,4.0,3.3,27.4,foxde01
9,Jayson Tatum,SF,24,BOS,20,20,40.0,9.3,20.2,.458,2.7,8.2,.323,6.6,12.0,.550,.524,6.0,6.9,.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2,tatumja01
10,Jimmy Butler,PF,33,MIA,22,22,39.7,9.4,20.1,.468,1.3,3.5,.359,8.1,16.5,.492,.500,6.8,8.5,.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,butleji01
11,Jamal Murray,PG,25,DEN,20,20,40.0,9.7,20.5,.473,3.0,7.5,.396,6.8,13.1,.517,.545,3.8,4.1,.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,murraja01
12,Ja Morant,PG,23,MEM,5,5,37.4,9.0,21.2,.425,2.6,6.2,.419,6.4,15.0,.427,.486,4.0,5.2,.769,1.6,5.2,6.8,7.0,1.8,0.2,3.4,2.4,24.6,moranja01
13,LeBron James,PF,38,LAL,16,16,38.7,9.2,18.4,.498,1.8,6.6,.264,7.4,11.8,.630,.546,4.4,5.8,.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,jamesle01
14,Khris Middleton,SF,31,MIL,5,5,34.6,8.0,17.2,.465,2.6,6.4,.406,5.4,10.8,.500,.541,5.2,6.0,.867,1.4,5.0,6.4,6.2,0.6,0.0,3.4,3.0,23.8,middlkh01
15,Joel Embiid,C,28,PHI,9,9,37.3,7.3,17.0,.431,0.6,3.1,.179,6.8,13.9,.488,.448,8.4,9.3,.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,3.0,23.7,embiijo01
16,Russell Westbrook,PG,34,LAC,5,5,38.4,8.6,21.0,.410,2.0,5.6,.357,6.6,15.4,.429,.457,4.4,5.0,.880,1.8,5.8,7.6,7.4,1.2,1.4,4.0,3.0,23.6,westbru01
17,Desmond Bane,SG,24,MEM,6,6,38.5,8.2,19.3,.422,2.7,8.3,.320,5.5,11.0,.500,.491,4.5,4.8,.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,23.5,banede01
18,Donovan Mitchell,SG,26,CLE,5,5,41.4,9.0,20.8,.433,2.6,9.0,.289,6.4,11.8,.542,.495,2.6,3.6,.722,0.6,4.4,5.0,7.2,2.0,0.6,3.8,2.8,23.2,mitchdo01
19,Dejounte Murray,SG,26,ATL,5,5,38.0,9.2,20.6,.447,2.8,7.4,.378,6.4,13.2,.485,.515,1.8,1.8,1.000,1.8,5.4,7.2,6.8,2.0,0.2,2.0,1.4,23.0,murrade01
20,Jaylen Brown,SF,26,BOS,20,20,37.6,9.1,18.3,.496,2.0,5.7,.354,7.1,12.6,.560,.551,2.6,3.7,.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,brownja02
21,Anthony Davis,C,29,LAL,16,16,38.0,8.3,15.9,.520,0.3,0.9,.333,7.9,14.9,.531,.530,5.8,6.8,.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,davisan02
22,Norman Powell,SG,29,LAC,5,3,33.4,7.2,15.2,.474,2.6,6.4,.406,4.6,8.8,.523,.559,4.8,6.2,.774,0.8,2.2,3.0,2.2,0.8,0.4,1.6,3.2,21.8,powelno01
23,Darius Garland,PG,23,CLE,5,5,37.8,7.0,16.0,.438,2.4,6.2,.387,4.6,9.8,.469,.513,4.2,5.0,.840,0.0,1.8,1.8,5.0,1.6,0.2,3.6,3.4,20.6,garlada01
24,Tyrese Maxey,SG,22,PHI,11,11,38.5,7.5,17.5,.427,3.1,7.7,.400,4.4,9.7,.449,.516,2.5,2.8,.903,0.8,4.0,4.8,2.3,1.4,0.5,0.7,2.4,20.5,maxeyty01
25,James Harden,PG,33,PHI,11,11,38.8,6.5,16.6,.393,2.8,7.5,.378,3.7,9.2,.406,.478,4.4,5.0,.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5,20.3,hardeja01
26,RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,.433,1.8,5.5,.328,4.6,9.4,.495,.494,4.5,5.9,.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,2.3,19.3,barrerj01
27,Malik Monk,SG,24,SAC,7,0,29.3,5.4,13.3,.409,1.9,5.6,.333,3.6,7.7,.463,.478,6.3,7.0,.898,0.9,4.6,5.4,3.6,0.7,0.4,2.0,2.1,19.0,monkma01
28,Klay Thompson,SF,32,GSW,13,13,36.0,6.5,16.8,.388,3.8,10.5,.368,2.7,6.4,.422,.502,1.6,1.8,.875,0.1,4.1,4.2,2.2,0.5,0.3,2.0,2.2,18.5,thompkl01
29,Jaren Jackson Jr.,C,23,MEM,6,6,36.7,5.8,13.8,.422,1.2,4.2,.280,4.7,9.7,.483,.464,5.2,6.0,.861,3.3,4.5,7.8,1.5,1.0,2.0,3.0,4.0,18.0,jacksja02
30,Bam Adebayo,C,25,MIA,23,23,37.0,7.3,15.1,.481,0.0,0.1,.000,7.3,15.0,.485,.481,3.4,4.1,.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,adebaba01
31,Austin Reaves,SG,24,LAL,16,16,36.2,5.6,12.1,.464,2.4,5.5,.443,3.2,6.6,.481,.564,3.2,3.6,.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,reaveau01
32,De'Andre Hunter,SF,25,ATL,6,6,37.3,6.5,14.2,.459,2.3,6.3,.368,4.2,7.8,.532,.541,1.3,1.7,.800,1.2,4.5,5.7,1.2,0.7,0.3,1.5,3.3,16.7,huntede01
33,Andrew Wiggins,SF,27,GSW,13,12,34.0,6.4,13.9,.459,1.5,4.9,.297,4.9,9.0,.547,.511,2.5,3.6,.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5,16.7,wiggian01
34,Julius Randle,PF,28,NYK,10,10,33.0,5.5,14.7,.374,1.7,6.6,.258,3.8,8.1,.469,.432,3.9,5.5,.709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,2.4,16.6,randlju01
35,Domantas Sabonis,C,26,SAC,7,7,34.7,7.0,14.1,.495,0.1,0.7,.200,6.9,13.4,.511,.500,2.3,4.0,.571,4.4,6.6,11.0,4.7,1.4,0.9,3.7,4.0,16.4,sabondo01
36,Tobias Harris,SF,30,PHI,11,11,35.6,6.4,12.2,.522,1.4,3.7,.366,5.0,8.5,.591,.578,1.2,1.4,.867,1.5,5.7,7.3,1.6,0.6,0.5,0.7,2.5,15.3,harrito02
37,Marcus Smart,PG,28,BOS,20,20,34.0,5.1,11.2,.453,2.2,6.1,.361,2.9,5.1,.564,.552,2.6,3.3,.800,1.1,3.0,4.0,5.1,1.3,0.3,2.3,1.9,14.9,smartma01
38,Deandre Ayton,C,24,PHO,10,10,31.9,6.1,11.1,.550,0.0,0.0,,6.1,11.1,.550,.550,1.2,2.3,.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,13.4,aytonde01
39,Michael Porter Jr.,SF,24,DEN,20,20,32.7,5.0,11.7,.423,2.3,6.6,.351,2.7,5.2,.515,.521,1.2,1.5,.793,1.0,7.1,8.1,1.6,0.5,0.6,0.5,2.1,13.4,portemi01
40,Derrick White,SG,28,BOS,20,16,29.7,4.7,9.2,.505,2.5,5.5,.455,2.2,3.7,.581,.641,1.6,1.7,.912,0.7,2.3,3.0,2.1,0.6,1.0,0.9,1.9,13.4,whitede01
41,Aaron Gordon,PF,27,DEN,20,20,35.7,5.1,9.8,.518,0.9,2.3,.391,4.2,7.5,.557,.564,2.3,3.5,.652,2.5,3.6,6.0,2.6,0.6,0.7,1.0,2.9,13.3,gordoaa01
42,D'Angelo Russell,PG,26,LAL,16,15,29.6,5.2,12.2,.426,1.7,5.4,.310,3.5,6.8,.519,.495,1.3,1.6,.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2.0,13.3,russeda01
43,Caleb Martin,SF,27,MIA,23,4,30.2,4.7,9.0,.529,1.9,4.5,.423,2.8,4.4,.637,.636,1.3,1.5,.829,1.2,4.3,5.4,1.6,0.9,0.4,1.0,2.4,12.7,martica02
44,Gabe Vincent,PG,26,MIA,22,22,30.5,4.5,11.2,.402,2.3,6.1,.378,2.2,5.0,.432,.506,1.4,1.5,.882,0.4,1.0,1.4,3.5,0.9,0.2,1.4,3.0,12.7,vincega01
45,Rui Hachimura,PF,24,LAL,16,1,24.3,4.6,8.2,.557,1.2,2.4,.487,3.4,5.8,.587,.630,1.9,2.1,.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2,hachiru01
46,Bruce Brown,SF,26,DEN,20,0,26.5,4.5,8.8,.511,0.9,2.9,.316,3.6,6.0,.605,.563,2.1,2.5,.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,12.0,brownbr01
47,Malcolm Brogdon,PG,30,BOS,19,0,24.9,4.3,10.3,.418,1.7,4.6,.379,2.6,5.7,.450,.503,1.5,1.8,.829,0.7,2.8,3.5,2.9,0.2,0.3,1.0,1.5,11.9,brogdma01
48,Kentavious Caldwell-Pope,SG,29,DEN,20,20,33.6,3.7,8.1,.457,1.8,4.6,.380,2.0,3.5,.557,.565,1.5,1.8,.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4,10.6,caldwke01
49,Josh Hart,SF,27,NYK,11,5,32.1,4.1,8.5,.479,0.9,2.9,.313,3.2,5.6,.565,.532,1.3,2.0,.636,1.6,5.7,7.4,2.2,0.8,0.3,1.9,3.5,10.4,hartjo01
50,Jordan Poole,PG,23,GSW,13,4,21.8,3.5,10.4,.341,1.2,4.8,.254,2.3,5.5,.417,.400,2.0,2.6,.765,0.3,1.8,2.2,3.5,0.8,0.2,1.2,2.5,10.3,poolejo01
51,Draymond Green,PF,32,GSW,12,9,30.6,3.5,7.6,.462,0.4,1.7,.250,3.1,5.9,.521,.489,2.0,2.8,.727,1.6,5.3,6.9,6.8,1.5,1.0,2.3,4.0,9.4,greendr01
52,Max Strus,SF,26,MIA,23,23,28.2,3.3,8.2,.402,1.9,5.9,.319,1.4,2.3,.611,.516,0.9,1.1,.800,0.6,3.0,3.6,1.4,0.3,0.3,0.3,2.0,9.3,strusma01
53,Kyle Lowry,PG,36,MIA,23,1,26.0,3.2,7.6,.425,1.4,3.8,.375,1.8,3.7,.477,.520,1.3,1.4,.939,0.5,3.0,3.5,4.4,1.0,0.6,1.7,2.6,9.2,lowryky01
54,Duncan Robinson,SF,28,MIA,23,1,18.2,3.3,6.9,.475,2.2,4.9,.442,1.1,2.0,.556,.633,0.3,0.3,.875,0.0,1.4,1.5,1.7,0.3,0.1,0.9,1.6,9.0,robindu01
55,Robert Williams,C,25,BOS,20,4,20.9,3.4,4.3,.788,0.0,0.1,.000,3.4,4.2,.798,.788,1.0,1.4,.679,1.8,4.2,6.0,1.0,0.5,1.3,0.8,2.2,7.7,williro04
56,Dennis Schröder,PG,29,LAL,16,3,26.1,2.6,6.4,.398,0.8,2.4,.333,1.8,4.0,.438,.461,1.4,1.8,.821,0.2,1.8,1.9,2.9,1.0,0.2,1.3,2.5,7.4,schrode01
57,Kevin Love,PF,34,MIA,20,18,18.0,2.3,6.0,.378,1.7,4.4,.375,0.6,1.6,.387,.517,0.7,0.8,.875,0.7,4.9,5.6,1.2,0.5,0.4,0.5,1.8,6.9,loveke01
58,Al Horford,C,36,BOS,20,20,30.9,2.6,6.6,.386,1.4,4.7,.298,1.2,1.9,.605,.492,0.2,0.2,.750,1.5,5.7,7.2,3.0,1.1,1.7,0.6,2.4,6.7,horfoal01
